Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,246594191,3163.6784164606825,2993390,38.403675677215084,296434,4998784,64.13186371186252,49802,0.6389344041627287,4671,
United States of America,Americas,45635708,13787.113,501025,151.366,0,739856,223.52,8785,2.654,0
India,South-East Asia,34285814,2484.471,96040,6.959,12514,458437,33.22,3725,0.27,251
Brazil,Americas,21804094,10257.882,80535,37.888,10693,607694,285.894,2237,1.052,232
The United Kingdom,Europe,9057633,13342.416,283955,418.282,37667,140632,207.159,1099,1.619,74
Russian Federation,Europe,8554192,5861.667,274619,188.18,40402,239693,164.247,8024,5.498,1155
Turkey,Europe,8032988,9524.635,181183,214.827,23948,70611,83.723,1499,1.777,201
France,Europe,6943779,10676.272,39708,61.052,6361,115277,177.242,192,0.295,12
Iran (Islamic Republic of),Eastern Mediterranean,5924638,7053.733,63794,75.952,8427,126303,150.373,1080,1.286,177
Argentina,Americas,5288807,11701.995,8989,19.889,548,115950,256.551,127,0.281,8
Spain,Europe,5011149,10587.095,6237,13.177,0,87368,184.583,34,0.072,0
Colombia,Americas,5000677,9827.816,10996,21.61,1629,127258,250.1,226,0.444,33
Italy,Europe,4771965,8001.083,30780,51.608,4525,132100,221.49,274,0.459,26
Germany,Europe,4607208,5539.726,134478,161.697,9658,95752,115.133,635,0.764,23
Indonesia,South-East Asia,4244761,1551.881,4282,1.565,403,143423,52.435,188,0.069,18
Mexico,Americas,3805765,2951.744,21600,16.753,3478,288276,223.586,1816,1.408,325
Poland,Europe,3030151,7982.876,54271,142.976,4904,77012,202.887,565,1.488,13
Ukraine,Europe,2936238,6713.893,152199,348.013,13936,68027,155.548,3825,8.746,298
South Africa,Africa,2922116,4926.961,2484,4.188,230,89177,150.361,252,0.425,14
Philippines,Western Pacific,2787276,2543.574,30374,27.718,3410,43172,39.397,1379,1.258,128
Malaysia,Western Pacific,2471642,7636.539,39926,123.358,4979,28912,89.328,512,1.582,36
Peru,Americas,2200908,6675.111,5807,17.612,1032,200217,607.236,198,0.601,20
Netherlands,Europe,2132052,12247.833,49614,285.014,8219,18411,105.764,97,0.557,14
Iraq,Eastern Mediterranean,2055248,5109.698,8974,22.311,1046,23170,57.605,209,0.52,32
Thailand,South-East Asia,1920189,2750.988,61032,87.438,8165,19260,27.593,461,0.66,55
Czechia,Europe,1765654,16510.792,34329,321.014,2752,30775,287.78,129,1.206,22
Japan,Western Pacific,1722864,1362.201,5926,4.685,254,18268,14.444,69,0.055,7
Canada,Americas,1712128,4536.381,13663,36.201,0,28952,76.71,207,0.548,0
Chile,Americas,1695048,8867.076,13220,69.156,2171,37757,197.513,88,0.46,14
Romania,Europe,1655024,8562.46,83909,434.113,6993,48073,248.711,3093,16.002,322
Bangladesh,South-East Asia,1569539,953.03,1558,0.946,0,27868,16.922,40,0.024,0
Belgium,Europe,1360650,11808.697,30679,266.254,0,25994,225.595,94,0.816,0
Israel,Europe,1327645,15338.671,4282,49.471,472,8100,93.582,37,0.427,0
Pakistan,Eastern Mediterranean,1273078,576.334,4542,2.056,733,28449,12.879,72,0.033,10
Sweden,Europe,1171512,11343.519,4104,39.738,0,15025,145.484,5,0.048,0
Serbia,Europe,1142749,16497.729,44540,643.019,4929,9955,143.719,446,6.439,65
Portugal,Europe,1090651,10593.052,5513,53.546,763,18157,176.352,24,0.233,1
Kazakhstan,Europe,1020264,5433.668,11709,62.359,1423,17150,91.337,193,1.028,19
Cuba,Americas,952001,8404.991,6251,55.189,676,8236,72.714,54,0.477,6
Morocco,Eastern Mediterranean,946145,2563.345,1868,5.061,185,14668,39.739,56,0.152,1
Viet Nam,Western Pacific,921122,946.307,32182,33.062,5519,22083,22.687,410,0.421,53
Hungary,Europe,874630,8952.635,24117,246.859,11211,30881,316.095,314,3.214,152
Switzerland,Europe,868896,10039.681,6442,74.434,0,10802,124.812,19,0.22,0
Jordan,Eastern Mediterranean,862541,8453.687,11131,109.094,1723,11038,108.182,87,0.853,10
Austria,Europe,828005,9302.315,32640,366.698,5741,11080,124.48,84,0.944,8
Nepal,South-East Asia,813011,2790.323,3282,11.264,441,11416,39.181,55,0.189,9
Greece,Europe,742170,6924.154,25812,240.816,2722,15938,148.695,310,2.892,44
United Arab Emirates,Eastern Mediterranean,739905,7481.041,621,6.279,81,2136,21.597,6,0.061,0
Georgia,Europe,721388,18083.639,27206,681.996,2141,10089,252.909,301,7.545,44
Tunisia,Eastern Mediterranean,712747,6030.713,926,7.835,166,25241,213.57,86,0.728,3
Lebanon,Eastern Mediterranean,642024,9406.332,4205,61.608,685,8502,124.563,49,0.718,7
Bulgaria,Europe,602492,8667.101,33049,475.424,1457,23999,345.236,926,13.321,81
Guatemala,Americas,601402,3356.868,6737,37.604,2360,15050,84.005,395,2.205,122
Belarus,Europe,600168,6351.44,13934,147.46,2036,4631,49.009,116,1.228,17
Costa Rica,Americas,559698,10987.142,3159,62.013,0,7029,137.983,69,1.355,0
Saudi Arabia,Eastern Mediterranean,548617,1575.858,365,1.048,46,8794,25.26,16,0.046,1
Sri Lanka,South-East Asia,541073,2526.814,4428,20.679,0,13743,64.18,103,0.481,0
Azerbaijan,Europe,531370,5240.762,15045,148.385,2261,7074,69.769,180,1.775,25
Ecuador,Americas,515859,2923.865,227,1.287,0,32958,186.804,6,0.034,0
Bolivia (Plurinational State of),Americas,513584,4399.752,3875,33.196,472,18925,162.126,27,0.231,1
Myanmar,South-East Asia,500073,919.086,5099,9.371,0,18697,34.363,137,0.252,0
Slovakia,Europe,485629,8897.77,28198,516.648,1856,13045,239.013,128,2.345,11
Panama,Americas,472534,10951.553,1131,26.212,136,7315,169.534,8,0.185,0
Croatia,Europe,471474,11617.911,25469,627.599,1126,9251,227.96,191,4.707,31
Paraguay,Americas,461006,6463.422,305,4.276,32,16246,227.773,16,0.224,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,453782,8895.22,2323,45.536,235,4681,91.759,45,0.882,5
Ireland,Europe,445594,8975.715,15717,316.592,1963,5436,109.499,67,1.35,0
Kuwait,Eastern Mediterranean,412678,9663.298,151,3.536,25,2461,57.627,0,0,0
Lithuania,Europe,410580,14694.588,20481,733.011,1865,5913,211.625,244,8.733,40
Venezuela (Bolivarian Republic of),Americas,406239,1428.611,6572,23.112,794,4884,17.175,84,0.295,10
Uruguay,Americas,393718,11334.157,1689,48.622,264,6077,174.942,6,0.173,0
Denmark,Europe,387783,6659.776,11369,195.251,1532,2714,46.61,15,0.258,1
Dominican Republic,Americas,381667,3518.346,5395,49.733,693,4130,38.072,22,0.203,1
Honduras,Americas,375381,3789.964,1233,12.449,0,10240,103.386,48,0.485,0
Republic of Korea,Western Pacific,366386,714.632,13297,25.936,1686,2859,5.576,86,0.168,10
Ethiopia,Africa,365167,317.637,2832,2.463,207,6459,5.618,101,0.088,8
Libya,Eastern Mediterranean,357338,5200.448,3712,54.022,683,5099,74.207,93,1.353,21
Mongolia,Western Pacific,346490,10569.23,4930,150.383,0,1638,49.965,51,1.556,0
Republic of Moldova,Europe,337768,8373.106,9768,242.144,653,7790,193.11,293,7.263,39
Slovenia,Europe,335850,16024.441,15931,760.117,1662,5081,242.43,21,1.002,0
Egypt,Eastern Mediterranean,331017,323.466,6398,6.252,933,18651,18.226,366,0.358,59
Armenia,Europe,309397,10441.194,12845,433.479,1071,6379,215.272,324,10.934,51
Oman,Eastern Mediterranean,304291,5958.748,128,2.507,10,4111,80.503,1,0.02,0
Bahrain,Eastern Mediterranean,276829,16268.986,258,15.162,35,1393,81.865,0,0,0
Bosnia and Herzegovina,Europe,254046,7743.381,5083,154.931,289,11555,352.199,190,5.791,27
Kenya,Africa,253310,471.088,638,1.187,17,5281,9.821,24,0.045,5
Qatar,Eastern Mediterranean,239247,8304.151,729,25.303,104,610,21.173,1,0.035,0
Latvia,Europe,219911,11527.697,16451,862.359,772,3266,171.203,219,11.48,16
Nigeria,Africa,211961,102.824,1666,0.808,74,2896,1.405,40,0.019,1
Zambia,Africa,209734,1140.854,100,0.544,12,3661,19.914,2,0.011,0
Norway,Europe,207273,3861.573,6245,116.347,153,900,16.767,0,0,0
Algeria,Africa,206452,470.803,630,1.437,94,5920,13.5,30,0.068,2
North Macedonia,Europe,202552,9722.278,2786,133.725,349,7132,342.328,70,3.36,11
Singapore,Western Pacific,198374,3390.81,25730,439.803,3163,407,6.957,92,1.573,13
Estonia,Europe,195382,14701.695,12062,907.616,1413,1540,115.879,71,5.342,9
Botswana,Africa,186594,7934.677,1675,71.227,0,2406,102.312,10,0.425,0
Uzbekistan,Europe,186244,556.464,2316,6.92,281,1325,3.959,19,0.057,2
Albania,Europe,185300,6438.946,3604,125.235,413,2924,101.605,50,1.737,8
Puerto Rico,Americas,184812,6460.031,665,23.245,90,3234,113.043,13,0.454,2
Kyrgyzstan,Europe,181327,2779.302,698,10.699,68,2672,40.955,17,0.261,1
Australia,Western Pacific,170458,668.466,11992,47.028,1221,1734,6.8,97,0.38,12
Kosovo[1],Europe,160719,8950.384,127,7.073,13,2967,165.231,3,0.167,1
Finland,Europe,158991,2877.513,3720,67.327,236,1170,21.175,1,0.018,0
Afghanistan,Eastern Mediterranean,156250,401.378,265,0.681,40,7280,18.701,23,0.059,8
Mozambique,Africa,151292,484.05,67,0.214,4,1930,6.175,2,0.006,0
Montenegro,Europe,144291,22974.006,3375,537.367,529,2100,334.362,41,6.528,5
Zimbabwe,Africa,132977,894.689,326,2.193,23,4678,31.474,9,0.061,1
Ghana,Africa,130077,418.618,485,1.561,0,1175,3.781,6,0.019,0
Namibia,Africa,128886,5072.445,85,3.345,0,3552,139.793,6,0.236,0
Uganda,Africa,126236,275.98,478,1.045,65,3215,7.029,15,0.033,0
China,Western Pacific,126078,8.569,513,0.035,99,5696,0.387,1,0,0
Cyprus,Europe,124444,14013.885,1087,122.409,112,574,64.639,6,0.676,0
Cambodia,Western Pacific,118522,708.908,750,4.486,95,2788,16.676,54,0.323,7
El Salvador,Americas,113422,1748.665,1132,17.452,0,3622,55.842,58,0.894,0
Cameroon,Africa,102499,386.12,2210,8.325,0,1686,6.351,86,0.324,0
Rwanda,Africa,99698,769.737,326,2.517,17,1331,10.276,11,0.085,3
Jamaica,Americas,89014,3006.045,755,25.497,107,2236,75.511,57,1.925,7
Maldives,South-East Asia,87784,16239.936,713,131.904,0,243,44.955,3,0.555,0
Luxembourg,Europe,81683,13046.152,733,117.072,0,843,134.641,1,0.16,0
Senegal,Africa,73917,441.456,24,0.143,0,1878,11.216,0,0,0
Angola,Africa,64433,196.046,572,1.74,59,1710,5.203,13,0.04,2
Malawi,Africa,61796,323.033,39,0.204,2,2301,12.028,5,0.026,1
Côte d’Ivoire,Africa,61297,232.377,119,0.451,5,695,2.635,5,0.019,0
Democratic Republic of the Congo,Africa,57565,64.274,112,0.125,9,1098,1.226,7,0.008,0
Trinidad and Tobago,Americas,57329,4096.427,1892,135.192,208,1696,121.187,57,4.073,14
Réunion,Africa,54668,6106.028,230,25.689,0,374,41.773,2,0.223,0
Guadeloupe,Americas,54288,13567.794,0,0,0,815,203.687,0,0,0
Fiji,Western Pacific,52141,5816.419,127,14.167,0,674,75.186,1,0.112,0
Suriname,Americas,48964,8346.63,986,168.078,65,1090,185.806,32,5.455,8
Eswatini,Africa,46421,4001.245,37,3.189,18,1242,107.054,1,0.086,0
French Polynesia,Western Pacific,45541,16212.069,35,12.46,0,636,226.409,1,0.356,0
French Guiana,Americas,44629,14941.978,569,190.504,0,308,103.12,9,3.013,0
Madagascar,Africa,43626,157.546,4,0.014,0,963,3.478,3,0.011,0
Syrian Arab Republic,Eastern Mediterranean,43404,248.014,1889,10.794,258,2566,14.662,62,0.354,6
Martinique,Americas,43347,11551.037,444,118.316,0,683,182.005,10,2.665,0
Sudan,Eastern Mediterranean,40433,92.209,0,0,0,2995,6.83,0,0,0
Lao People's Democratic Republic,Western Pacific,40271,553.511,4638,63.748,685,65,0.893,13,0.179,3
Cabo Verde,Africa,38215,6873.362,75,13.49,8,349,62.771,0,0,0
Malta,Europe,37655,7317.846,102,19.823,16,461,89.59,1,0.194,0
Mauritania,Africa,37320,802.64,365,7.85,98,797,17.141,5,0.108,3
Guyana,Americas,35548,4519.472,571,72.595,104,913,116.076,19,2.416,3
Gabon,Africa,35525,1596.103,924,41.514,0,239,10.738,15,0.674,0
Guinea,Africa,30653,233.408,27,0.206,0,385,2.932,0,0,0
Papua New Guinea,Western Pacific,29715,332.122,1820,20.342,0,370,4.135,35,0.391,0
